Date,Calib.Date,Time,Tank,Treatment,Type,Temperature,pH.MV,Salinity,Conductivity,Notes
20190605,20190605, 8:48, Tank 5, Heat,Treatment,30.55,-58.4,34.5,NA,
20190605,20190605, 8:49, Tank 6, Ambient,Treatment,27.27,-58,34.23,NA,
20190606,20190605, 8:52, Tank 1, Ambient,Treatment,26.99,-59.9,34.29,NA,
20190606,20190605, 8:55, Tank 2, Heat,Treatment,30.34,-58.6,34.46,NA,
20190606,20190605, 8:56, Tank 3, Heat,Treatment,29.97,-58,34.47,NA,
20190606,20190605, 8:57, Tank 4, Ambient,Treatment,26.99,-59.7,34.29,NA,
20190606,20190605, 8:58, Tank 5, Heat,Treatment,30.28,-58.4,34.48,NA,
20190606,20190605, 8:59, Tank 6, Ambient,Treatment,27.01,-58.3,34.29,NA,
20190607,20190605, 9:49, Tank 1, Ambient,Treatment,27.65,-62.6,34.29,NA,
20190607,20190605, 9:50, Tank 2, Heat,Treatment,30.56,-61,34.45,NA,
20190607,20190605, 9:51, Tank 3, Heat,Treatment,30.23,-59.7,34.42,NA,
20190607,20190605, 9:51, Tank 4, Ambient,Treatment,27.55,-62.5,34.26,NA,
20190607,20190605, 9:53, Tank 5, Heat,Treatment,30.57,-61.5,34.45,NA,
20190607,20190605, 9:54, Tank 6, Ambient,Treatment,27.51,-60.5,34.26,NA,
